#{"t_start": 1760174605.785933, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,50.288952
-200.0,200,50.342361
-200.0,200,50.399533
-200.0,200,50.452984
-149.0,149,50.498523
-200.0,200,50.552062
-200.0,200,50.609079
-138.0,138,50.645107
-200.0,200,50.70403
-200.0,200,50.757588
-200.0,200,50.814461
-200.0,200,50.868068
-200.0,200,50.932017
-200.0,200,50.986113
-200.0,200,51.043416
-200.0,200,51.097291
-200.0,200,51.155958
-200.0,200,51.21044
-200.0,200,51.267884
-200.0,200,51.321617
-200.0,200,51.380608
-200.0,200,51.434005
-200.0,200,51.490922
-200.0,200,51.544212
-200.0,200,51.603103
-200.0,200,51.656347
-200.0,200,51.713425
-200.0,200,51.767209
-200.0,200,51.82512
-200.0,200,51.878934
-200.0,200,51.935834
-200.0,200,51.989118
-200.0,200,52.048055
-200.0,200,52.101476
-200.0,200,52.158411
-200.0,200,52.212717
-200.0,200,52.278551
-200.0,200,52.332804
-200.0,200,52.390621
-200.0,200,52.44409
-200.0,200,52.504849
-200.0,200,52.562305
-200.0,200,52.622441
-200.0,200,52.677718
-200.0,200,52.738861
-200.0,200,52.793792
-200.0,200,52.850317
-200.0,200,52.904115
-200.0,200,52.963772
-200.0,200,53.017292
-200.0,200,53.074768
-200.0,200,53.128446
-200.0,200,53.188019
-200.0,200,53.241855
-200.0,200,53.299222
-200.0,200,53.352878
-200.0,200,53.412204
-200.0,200,53.465797
-200.0,200,53.52254
-200.0,200,53.576065
-200.0,200,53.634887
-200.0,200,53.688356
-200.0,200,53.745484
-200.0,200,53.80071
-200.0,200,53.862761
-200.0,200,53.919508
-160.0,160,53.965592
-200.0,200,54.025469
-157.0,157,54.073617
-200.0,200,54.132716
-200.0,200,54.190903
-200.0,200,54.246909
-200.0,200,54.307181
-200.0,200,54.361501
-200.0,200,54.423425
-200.0,200,54.480925
-161.0,161,54.527787
-134.0,134,54.56738
-200.0,200,54.64791
-200.0,200,54.706092
-172.0,172,54.753048
-119.0,119,54.787887
-200.0,200,54.84132
-200.0,200,54.898463
-141.0,141,54.939931
-195.0,195,54.993619
-200.0,200,55.047353
-200.0,200,55.104157
-132.0,132,55.141963
-200.0,200,55.199553
-200.0,200,55.253142
-132.0,132,55.288809
-128.0,128,55.327717
-200.0,200,55.384851
-200.0,200,55.438278
-200.0,200,55.497416
-200.0,200,55.552601
-200.0,200,55.612822
-200.0,200,55.669347
-194.0,194,55.723293
-200.0,200,55.783202
-200.0,200,55.836831
-133.0,133,55.880655
-143.0,143,55.922659
-133.0,133,55.960722
-200.0,200,56.018288
-128.0,128,56.053693
-181.0,181,56.103272
-200.0,200,56.159122
-129.0,129,56.195082
-123.0,123,56.231107
-200.0,200,56.289314
-127.0,127,56.326438
-200.0,200,56.380145
-124.0,124,56.415326
-200.0,200,56.471034
-200.0,200,56.531441
-200.0,200,56.584814
-200.0,200,56.641951
-129.0,129,56.677836
-198.0,198,56.734024
-200.0,200,56.794629
-200.0,200,56.851872
-200.0,200,56.911522
-200.0,200,56.967505
-129.0,129,57.003071
-200.0,200,57.065947
-200.0,200,57.125586
-200.0,200,57.190664
-200.0,200,57.244663
-200.0,200,57.304313
-200.0,200,57.358721
-200.0,200,57.420732
-185.0,185,57.470449
-200.0,200,57.530716
-150.0,150,57.571179
-200.0,200,57.631533
-200.0,200,57.687382
-131.0,131,57.72359
-200.0,200,57.780896
-200.0,200,57.840652
-200.0,200,57.899291
-125.0,125,57.935695
-200.0,200,57.989746
-131.0,131,58.027278
-200.0,200,58.084051
-200.0,200,58.13847
-191.0,191,58.1935
-152.0,152,58.241183
-200.0,200,58.295172
-120.0,120,58.331621
-199.0,199,58.384874
-129.0,129,58.422344
-151.0,151,58.466313
-200.0,200,58.519519
-200.0,200,58.575906
-135.0,135,58.613816
-175.0,175,58.662364
-181.0,181,58.712288
-200.0,200,58.773984
-179.0,179,58.826945
-200.0,200,58.884789
-127.0,127,58.922621
-200.0,200,58.977292
-162.0,162,59.024626
-153.0,153,59.073108
-184.0,184,59.124814
-200.0,200,59.182813
-198.0,198,59.241958
-142.0,142,59.286408
-168.0,168,59.336267
-200.0,200,59.391889
-200.0,200,59.451781
-129.0,129,59.487975
-190.0,190,59.540506
-200.0,200,59.603449
-200.0,200,59.660278
-180.0,180,59.716183
-200.0,200,59.772076
-183.0,183,59.825541
-200.0,200,59.885965
-159.0,159,59.931327
-152.0,152,59.978506
-200.0,200,60.03364
-200.0,200,60.096212
-200.0,200,60.150185
-186.0,186,60.205507
-188.0,188,60.255274
-190.0,190,60.318346
-113.0,113,60.351006
-198.0,198,60.412721
-179.0,179,60.463911
-200.0,200,60.520268
-146.0,146,60.564182
-146.0,146,60.606648
-158.0,158,60.651411
-200.0,200,60.711422
